#1
double motor_load_speed(8001,3)
0.154,0.009676198,0.0050874627
0.154,0.011197198,0.0053976504
0.155,0.011135572,0.005422302
0.155,0.009840861,0.0059070983
0.156,0.009909308,0.0059305034
0.156,0.010046357,0.0055414815
0.157,0.010095249,0.005565013
0.157,0.010794236,0.00581811
0.158,0.0107724015,0.005840647
0.158,0.010352091,0.005809154
0.159,0.010372761,0.005830408
0.159,0.010884654,0.005795155
0.16,0.010854889,0.005815058
0.16,0.009878947,0.005599485
0.161,0.009944598,0.005618665
0.161,0.010525618,0.0054695564
0.162,0.0105289845,0.005488419
0.162,0.010259084,0.0049809655
0.163,0.010287136,0.0049990793
0.163,0.010439297,0.0057596844
0.164,0.010449253,0.0057771504
0.164,0.011508734,0.0052779806
0.165,0.011416579,0.0052933316
0.165,0.011068575,0.006214606
0.166,0.011018123,0.006227203
0.166,0.010057907,0.0063230884
0.167,0.0101022115,0.006334716
0.167,0.010634929,0.005653217
0.168,0.010622395,0.005664349
0.168,0.010472078,0.005194204
0.169,0.010473201,0.0052043456
0.169,0.010096438,0.0056076534
0.17,0.010130908,0.0056174234
0.17,0.009532156,0.005008977
0.171,0.009617134,0.0050194277
0.171,0.009961742,0.005406047
0.172,0.01000242,0.005417218
0.172,0.010432569,0.0057823244
0.173,0.010425483,0.005793063
0.173,0.01029925,0.006190908
0.174,0.010301937,0.0062007788
0.174,0.010176945,0.005826311
0.175,0.010187994,0.0058355704
0.175,0.01020443,0.0052145002
0.176,0.01020934,0.0052231974
0.176,0.010742541,0.005744093
0.177,0.010692906,0.0057514976
0.177,0.010066017,0.0051407977
0.178,0.010077132,0.005147056
0.178,0.010968065,0.005916769
0.179,0.010889643,0.0059215436
0.179,0.009744763,0.005107839
0.18,0.009778651,0.0051115034
0.18,0.009831242,0.0062700133
0.181,0.00985185,0.0062738033
0.181,0.010222241,0.0058977185
0.182,0.010200762,0.0059009497
0.182,0.011933839,0.006029962
0.183,0.011745793,0.0060300715
0.183,0.010211792,0.0065084766
0.184,0.010183678,0.0065055573
0.184,0.009895583,0.0058362023
0.185,0.009892003,0.0058326037
0.185,0.010064202,0.005440794
0.186,0.010038756,0.00543657
